National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7",571.7,569.7,551.3,498.9,512.7,SK
Management occupations,71,67.1,66.5,65,68.5,SK
Senior management occupations,1,1.2,,1,2.5,SK
Specialized middle management occupations,16.9,16.8,16.7,14.8,14.1,SK
Middle management occupations in retail and wholesale trade and customer services,16.9,13.5,13.6,13,15.9,SK
"Middle management occupations in trades, transportation, production and utilities",36.3,35.7,35.8,36.2,36.1,SK
"Business, finance and administration occupations",80.4,79.3,79.7,75.3,78.6,SK
Professional occupations in business and finance,18.5,15.4,17.7,17.1,16,SK
Administrative and financial supervisors and administrative occupations,25.2,25,26.1,26.1,26.6,SK
"Finance, insurance and related business administrative occupations",8.8,9.5,7.1,7.9,9.6,SK
Office support occupations,18.4,20.7,20.7,17.1,18.7,SK
"Distribution, tracking and scheduling co-ordination occupations",9.4,8.7,8.1,7.2,7.8,SK
Natural and applied sciences and related occupations,28.2,29.2,30.2,28.2,28.9,SK
Professional occupations in natural and applied sciences,14.1,15,15.3,14.7,13.8,SK
Technical occupations related to natural and applied sciences,14,14.2,14.8,13.5,15.1,SK
Health occupations,45.4,45.9,47.7,48.1,45.7,SK
Professional occupations in nursing,12,12.1,13.1,15.3,14.9,SK
Professional occupations in health (except nursing),10.3,10.9,9.4,8.5,7.5,SK
Technical occupations in health,10.7,10.4,12.7,12.5,13.7,SK
Assisting occupations in support of health services,12.4,12.5,12.5,11.8,9.7,SK
"Occupations in education, law and social, community and government services",69.1,70.7,66.5,55.9,60.5,SK
Professional occupations in education services,25.1,26.2,25.4,22.6,25.1,SK
"Professional occupations in law and social, community and government services",13.9,13.8,12.9,11.4,12.7,SK
"Paraprofessional occupations in legal, social, community and education services",14.9,15.4,14.4,8.9,10,SK
Occupations in front-line public protection services,4.7,4.7,4.4,3.3,3.9,SK
"Care providers and educational, legal and public protection support occupations",10.5,10.7,9.4,9.7,8.8,SK
"Occupations in art, culture, recreation and sport",11.5,12.2,10.1,10.1,7.9,SK
Professional occupations in art and culture,4.1,4.2,4.2,4.1,3.7,SK
"Technical occupations in art, culture, recreation and sport",7.4,7.9,5.9,6,4.2,SK
Sales and service occupations,138,137.9,129.4,104.5,102.3,SK
Retail sales supervisors and specialized sales occupations,18.2,17.7,19.9,17.9,16.4,SK
Service supervisors and specialized service occupations,22.9,23.2,22.3,15.7,17.5,SK
Sales representatives and salespersons - wholesale and retail trade,22.4,25.5,22.8,17.6,16.9,SK
Service representatives and other customer and personal services occupations,22.5,22.8,19.8,14.1,11.8,SK
Sales support occupations,18.2,18.5,18.7,19.8,20.1,SK
"Service support and other service occupations, n.e.c.",33.8,30.2,25.9,19.4,19.5,SK
"Trades, transport and equipment operators and related occupations",87.4,86.5,82.9,74.8,78.8,SK
"Industrial, electrical and construction trades",28.9,28.4,27.2,27,27.5,SK
Maintenance and equipment operation trades,26.6,25.1,22.1,20.6,18.4,SK
"Other installers, repairers and servicers and material handlers",6.9,8.1,7.2,5.8,7.4,SK
Transport and heavy equipment operation and related maintenance occupations,20.9,21.9,22.6,19,21.3,SK
"Trades helpers, construction labourers and related occupations",4.1,2.9,3.9,2.5,4.1,SK
"Natural resources, agriculture and related production occupations",21.6,23.4,20.5,19.5,23.8,SK
"Supervisors and technical occupations in natural resources, agriculture and related production",9.8,9.8,9,7.4,9,SK
"Workers in natural resources, agriculture and related production",9.8,10.8,8.9,9.7,12.6,SK
"Harvesting, landscaping and natural resources labourers",2,2.8,2.6,2.4,2.2,SK
Occupations in manufacturing and utilities,19.2,17.6,18,17.6,17.7,SK
"Processing, manufacturing and utilities supervisors and central control operators",7.4,6.9,7.9,7.4,6.6,SK
Processing and manufacturing machine operators and related production workers,5.3,4.4,4.4,3.4,3.3,SK
Assemblers in manufacturing,4,3.5,2.8,3.1,2.7,SK
"Labourers in processing, manufacturing and utilities",2.6,2.8,2.9,3.7,5.2,SK